L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
ENG,F,all,14,i,i  (heed),2333,413.0,51.0,437,-24.0,437,-24.0,2522.0,286.0,2761,-239.0,2685,-163.0
ENG,F,all,14,ɪ,ɪ  (hid),1227,515.0,76.0,483,32.0,595,-80.0,2104.0,240.0,2365,-261.0,2289,-185.0
ENG,F,all,14,ɛ,ɛ  (head),1415,725.0,108.0,731,-6.0,748,-23.0,1831.0,176.0,2058,-227.0,2099,-268.0
ENG,F,all,14,æ,æ  (had),1496,808.0,138.0,669,139.0,914,-106.0,1892.0,234.0,2349,-457.0,2046,-154.0
ENG,F,all,14,ɑ,ɑ  (hod),789,850.0,81.0,936,-86.0,861,-11.0,1368.0,142.0,1551,-183.0,1437,-69.0
ENG,F,all,14,ʊ,ʊ  (hood),204,548.0,67.0,519,29.0,575,-27.0,1596.0,258.0,1225,371.0,1521,75.0
ENG,F,all,14,u,u  (who'd),508,427.0,51.0,459,-32.0,470,-43.0,1610.0,336.0,1105,505.0,1700,-90.0
ENG,F,all,14,ʌ,ʌ  (hud),1012,732.0,101.0,753,-21.0,799,-67.0,1533.0,135.0,1426,107.0,1567,-34.0
ENG,F,stressed,14,i,i  (heed),1026,397.0,45.0,437,-40.0,437,-40.0,2591.0,253.0,2761,-170.0,2685,-94.0
ENG,F,stressed,14,ɪ,ɪ  (hid),962,523.0,73.0,483,40.0,595,-72.0,2091.0,225.0,2365,-274.0,2289,-198.0
ENG,F,stressed,14,ɛ,ɛ  (head),1413,725.0,107.0,731,-6.0,748,-23.0,1830.0,176.0,2058,-228.0,2099,-269.0
ENG,F,stressed,14,æ,æ  (had),1481,808.0,138.0,669,139.0,914,-106.0,1890.0,234.0,2349,-459.0,2046,-156.0
ENG,F,stressed,14,ɑ,ɑ  (hod),789,850.0,81.0,936,-86.0,861,-11.0,1368.0,142.0,1551,-183.0,1437,-69.0
ENG,F,stressed,14,ʊ,ʊ  (hood),204,548.0,67.0,519,29.0,575,-27.0,1596.0,258.0,1225,371.0,1521,75.0
ENG,F,stressed,14,u,u  (who'd),505,428.0,51.0,459,-31.0,470,-42.0,1608.0,335.0,1105,503.0,1700,-92.0
ENG,F,stressed,14,ʌ,ʌ  (hud),1012,732.0,101.0,753,-21.0,799,-67.0,1533.0,135.0,1426,107.0,1567,-34.0
ENG,F,citation,14,i,i  (heed),334,392.0,47.0,437,-45.0,437,-45.0,2670.0,246.0,2761,-91.0,2685,-15.0
ENG,F,citation,14,ɪ,ɪ  (hid),126,545.0,77.0,483,62.0,595,-50.0,2135.0,199.0,2365,-230.0,2289,-154.0
ENG,F,citation,14,ɛ,ɛ  (head),455,765.0,95.0,731,34.0,748,17.0,1857.0,161.0,2058,-201.0,2099,-242.0
ENG,F,citation,14,æ,æ  (had),696,863.0,140.0,669,194.0,914,-51.0,1874.0,234.0,2349,-475.0,2046,-172.0
ENG,F,citation,14,ɑ,ɑ  (hod),420,865.0,78.0,936,-71.0,861,4.0,1349.0,137.0,1551,-202.0,1437,-88.0
ENG,F,citation,14,ʊ,ʊ  (hood),31,602.0,65.0,519,83.0,575,27.0,1515.0,276.0,1225,290.0,1521,-6.0
ENG,F,citation,14,u,u  (who'd),170,430.0,47.0,459,-29.0,470,-40.0,1666.0,325.0,1105,561.0,1700,-34.0
ENG,F,citation,14,ʌ,ʌ  (hud),157,793.0,73.0,753,40.0,799,-6.0,1509.0,114.0,1426,83.0,1567,-58.0
ENG,M,all,12,i,i  (heed),1826,366.0,102.0,342,24.0,294,72.0,2155.0,174.0,2322,-167.0,2208,-53.0
ENG,M,all,12,ɪ,ɪ  (hid),981,451.0,78.0,427,24.0,458,-7.0,1874.0,182.0,2034,-160.0,1860,14.0
ENG,M,all,12,ɛ,ɛ  (head),1114,622.0,92.0,580,42.0,584,38.0,1649.0,163.0,1799,-150.0,1719,-70.0
ENG,M,all,12,æ,æ  (had),1143,681.0,110.0,588,93.0,761,-80.0,1698.0,190.0,1952,-254.0,1633,65.0
ENG,M,all,12,ɑ,ɑ  (hod),679,762.0,109.0,768,-6.0,731,31.0,1259.0,206.0,1333,-74.0,1118,141.0
ENG,M,all,12,ʊ,ʊ  (hood),215,483.0,88.0,469,14.0,465,18.0,1430.0,254.0,1122,308.0,1227,203.0
ENG,M,all,12,u,u  (who'd),487,412.0,125.0,378,34.0,389,23.0,1517.0,356.0,997,520.0,1395,122.0
ENG,M,all,12,ʌ,ʌ  (hud),745,652.0,94.0,623,29.0,687,-35.0,1347.0,174.0,1200,147.0,1233,114.0
ENG,M,stressed,12,i,i  (heed),832,339.0,91.0,342,-3.0,294,45.0,2185.0,162.0,2322,-137.0,2208,-23.0
ENG,M,stressed,12,ɪ,ɪ  (hid),733,458.0,73.0,427,31.0,458,0.0,1876.0,174.0,2034,-158.0,1860,16.0
ENG,M,stressed,12,ɛ,ɛ  (head),1112,623.0,92.0,580,43.0,584,39.0,1649.0,163.0,1799,-150.0,1719,-70.0
ENG,M,stressed,12,æ,æ  (had),1128,682.0,110.0,588,94.0,761,-79.0,1696.0,190.0,1952,-256.0,1633,63.0
ENG,M,stressed,12,ɑ,ɑ  (hod),679,762.0,109.0,768,-6.0,731,31.0,1259.0,206.0,1333,-74.0,1118,141.0
ENG,M,stressed,12,ʊ,ʊ  (hood),215,483.0,88.0,469,14.0,465,18.0,1430.0,254.0,1122,308.0,1227,203.0
ENG,M,stressed,12,u,u  (who'd),480,413.0,126.0,378,35.0,389,24.0,1514.0,357.0,997,517.0,1395,119.0
ENG,M,stressed,12,ʌ,ʌ  (hud),745,652.0,94.0,623,29.0,687,-35.0,1347.0,174.0,1200,147.0,1233,114.0
ENG,M,citation,12,i,i  (heed),270,339.0,87.0,342,-3.0,294,45.0,2241.0,149.0,2322,-81.0,2208,33.0
ENG,M,citation,12,ɪ,ɪ  (hid),75,477.0,83.0,427,50.0,458,19.0,1943.0,137.0,2034,-91.0,1860,83.0
ENG,M,citation,12,ɛ,ɛ  (head),310,649.0,85.0,580,69.0,584,65.0,1658.0,140.0,1799,-141.0,1719,-61.0
ENG,M,citation,12,æ,æ  (had),495,721.0,111.0,588,133.0,761,-40.0,1687.0,188.0,1952,-265.0,1633,54.0
ENG,M,citation,12,ɑ,ɑ  (hod),347,781.0,108.0,768,13.0,731,50.0,1234.0,206.0,1333,-99.0,1118,116.0
ENG,M,citation,12,ʊ,ʊ  (hood),49,512.0,93.0,469,43.0,465,47.0,1306.0,249.0,1122,184.0,1227,79.0
ENG,M,citation,12,u,u  (who'd),194,408.0,115.0,378,30.0,389,19.0,1475.0,380.0,997,478.0,1395,80.0
ENG,M,citation,12,ʌ,ʌ  (hud),94,694.0,81.0,623,71.0,687,7.0,1276.0,143.0,1200,76.0,1233,43.0
CMN,F,all,3,i,i  (heed),494,419.0,98.0,437,-18.0,437,-18.0,2444.0,268.0,2761,-317.0,2685,-241.0
CMN,F,all,3,ɪ,ɪ  (hid),439,461.0,75.0,483,-22.0,595,-134.0,2295.0,261.0,2365,-70.0,2289,6.0
CMN,F,all,3,ɛ,ɛ  (head),331,745.0,106.0,731,14.0,748,-3.0,1879.0,213.0,2058,-179.0,2099,-220.0
CMN,F,all,3,æ,æ  (had),377,836.0,93.0,669,167.0,914,-78.0,1849.0,202.0,2349,-500.0,2046,-197.0
CMN,F,all,3,ɑ,ɑ  (hod),189,828.0,107.0,936,-108.0,861,-33.0,1255.0,117.0,1551,-296.0,1437,-182.0
CMN,F,all,3,ʊ,ʊ  (hood),64,481.0,54.0,519,-38.0,575,-94.0,1445.0,219.0,1225,220.0,1521,-76.0
CMN,F,all,3,u,u  (who'd),144,431.0,56.0,459,-28.0,470,-39.0,1451.0,299.0,1105,346.0,1700,-249.0
CMN,F,all,3,ʌ,ʌ  (hud),340,781.0,127.0,753,28.0,799,-18.0,1476.0,182.0,1426,50.0,1567,-91.0
CMN,F,stressed,3,i,i  (heed),215,403.0,78.0,437,-34.0,437,-34.0,2490.0,241.0,2761,-271.0,2685,-195.0
CMN,F,stressed,3,ɪ,ɪ  (hid),361,467.0,76.0,483,-16.0,595,-128.0,2302.0,254.0,2365,-63.0,2289,13.0
CMN,F,stressed,3,ɛ,ɛ  (head),331,745.0,106.0,731,14.0,748,-3.0,1879.0,213.0,2058,-179.0,2099,-220.0
CMN,F,stressed,3,æ,æ  (had),372,836.0,94.0,669,167.0,914,-78.0,1849.0,201.0,2349,-500.0,2046,-197.0
CMN,F,stressed,3,ɑ,ɑ  (hod),189,828.0,107.0,936,-108.0,861,-33.0,1255.0,117.0,1551,-296.0,1437,-182.0
CMN,F,stressed,3,ʊ,ʊ  (hood),64,481.0,54.0,519,-38.0,575,-94.0,1445.0,219.0,1225,220.0,1521,-76.0
CMN,F,stressed,3,u,u  (who'd),142,431.0,56.0,459,-28.0,470,-39.0,1447.0,299.0,1105,342.0,1700,-253.0
CMN,F,stressed,3,ʌ,ʌ  (hud),340,781.0,127.0,753,28.0,799,-18.0,1476.0,182.0,1426,50.0,1567,-91.0
CMN,F,citation,3,i,i  (heed),85,409.0,84.0,437,-28.0,437,-28.0,2549.0,220.0,2761,-212.0,2685,-136.0
CMN,F,citation,3,ɪ,ɪ  (hid),63,464.0,84.0,483,-19.0,595,-131.0,2354.0,264.0,2365,-11.0,2289,65.0
CMN,F,citation,3,ɛ,ɛ  (head),160,773.0,105.0,731,42.0,748,25.0,1905.0,184.0,2058,-153.0,2099,-194.0
CMN,F,citation,3,æ,æ  (had),153,879.0,81.0,669,210.0,914,-35.0,1818.0,182.0,2349,-531.0,2046,-228.0
CMN,F,citation,3,ɑ,ɑ  (hod),99,819.0,102.0,936,-117.0,861,-42.0,1218.0,120.0,1551,-333.0,1437,-219.0
CMN,F,citation,3,ʊ,ʊ  (hood),23,465.0,39.0,519,-54.0,575,-110.0,1396.0,212.0,1225,171.0,1521,-125.0
CMN,F,citation,3,u,u  (who'd),53,435.0,50.0,459,-24.0,470,-35.0,1355.0,311.0,1105,250.0,1700,-345.0
CMN,F,citation,3,ʌ,ʌ  (hud),88,851.0,71.0,753,98.0,799,52.0,1485.0,141.0,1426,59.0,1567,-82.0
CMN,M,all,11,i,i  (heed),1517,362.0,66.0,342,20.0,294,68.0,2088.0,252.0,2322,-234.0,2208,-120.0
CMN,M,all,11,ɪ,ɪ  (hid),1700,397.0,65.0,427,-30.0,458,-61.0,2042.0,253.0,2034,8.0,1860,182.0
CMN,M,all,11,ɛ,ɛ  (head),1221,641.0,123.0,580,61.0,584,57.0,1651.0,172.0,1799,-148.0,1719,-68.0
CMN,M,all,11,æ,æ  (had),1298,699.0,110.0,588,111.0,761,-62.0,1632.0,177.0,1952,-320.0,1633,-1.0
CMN,M,all,11,ɑ,ɑ  (hod),660,705.0,111.0,768,-63.0,731,-26.0,1187.0,156.0,1333,-146.0,1118,69.0
CMN,M,all,11,ʊ,ʊ  (hood),222,405.0,66.0,469,-64.0,465,-60.0,1202.0,231.0,1122,80.0,1227,-25.0
CMN,M,all,11,u,u  (who'd),643,383.0,83.0,378,5.0,389,-6.0,1261.0,313.0,997,264.0,1395,-134.0
CMN,M,all,11,ʌ,ʌ  (hud),1298,664.0,131.0,623,41.0,687,-23.0,1321.0,149.0,1200,121.0,1233,88.0
CMN,M,stressed,11,i,i  (heed),719,350.0,53.0,342,8.0,294,56.0,2107.0,234.0,2322,-215.0,2208,-101.0
CMN,M,stressed,11,ɪ,ɪ  (hid),1399,400.0,63.0,427,-27.0,458,-58.0,2037.0,246.0,2034,3.0,1860,177.0
CMN,M,stressed,11,ɛ,ɛ  (head),1216,641.0,122.0,580,61.0,584,57.0,1650.0,172.0,1799,-149.0,1719,-69.0
CMN,M,stressed,11,æ,æ  (had),1290,699.0,110.0,588,111.0,761,-62.0,1631.0,177.0,1952,-321.0,1633,-2.0
CMN,M,stressed,11,ɑ,ɑ  (hod),660,705.0,111.0,768,-63.0,731,-26.0,1187.0,156.0,1333,-146.0,1118,69.0
CMN,M,stressed,11,ʊ,ʊ  (hood),222,405.0,66.0,469,-64.0,465,-60.0,1202.0,231.0,1122,80.0,1227,-25.0
CMN,M,stressed,11,u,u  (who'd),628,382.0,83.0,378,4.0,389,-7.0,1257.0,314.0,997,260.0,1395,-138.0
CMN,M,stressed,11,ʌ,ʌ  (hud),1298,664.0,131.0,623,41.0,687,-23.0,1321.0,149.0,1200,121.0,1233,88.0
CMN,M,citation,11,i,i  (heed),268,345.0,51.0,342,3.0,294,51.0,2171.0,223.0,2322,-151.0,2208,-37.0
CMN,M,citation,11,ɪ,ɪ  (hid),232,406.0,70.0,427,-21.0,458,-52.0,2063.0,247.0,2034,29.0,1860,203.0
CMN,M,citation,11,ɛ,ɛ  (head),602,675.0,117.0,580,95.0,584,91.0,1668.0,160.0,1799,-131.0,1719,-51.0
CMN,M,citation,11,æ,æ  (had),454,740.0,105.0,588,152.0,761,-21.0,1633.0,169.0,1952,-319.0,1633,-0.0
CMN,M,citation,11,ɑ,ɑ  (hod),313,719.0,108.0,768,-49.0,731,-12.0,1154.0,146.0,1333,-179.0,1118,36.0
CMN,M,citation,11,ʊ,ʊ  (hood),65,420.0,72.0,469,-49.0,465,-45.0,1122.0,210.0,1122,-0.0,1227,-105.0
CMN,M,citation,11,u,u  (who'd),227,386.0,73.0,378,8.0,389,-3.0,1142.0,305.0,997,145.0,1395,-253.0
CMN,M,citation,11,ʌ,ʌ  (hud),306,739.0,120.0,623,116.0,687,52.0,1313.0,120.0,1200,113.0,1233,80.0
KOR,F,all,7,i,i  (heed),1183,411.0,86.0,437,-26.0,437,-26.0,2596.0,319.0,2761,-165.0,2685,-89.0
KOR,F,all,7,ɪ,ɪ  (hid),1074,478.0,90.0,483,-5.0,595,-117.0,2379.0,337.0,2365,14.0,2289,90.0
KOR,F,all,7,ɛ,ɛ  (head),798,702.0,119.0,731,-29.0,748,-46.0,1994.0,277.0,2058,-64.0,2099,-105.0
KOR,F,all,7,æ,æ  (had),882,790.0,110.0,669,121.0,914,-124.0,1987.0,267.0,2349,-362.0,2046,-59.0
KOR,F,all,7,ɑ,ɑ  (hod),446,777.0,105.0,936,-159.0,861,-84.0,1352.0,201.0,1551,-199.0,1437,-85.0
KOR,F,all,7,ʊ,ʊ  (hood),133,503.0,80.0,519,-16.0,575,-72.0,1624.0,317.0,1225,399.0,1521,103.0
KOR,F,all,7,u,u  (who'd),327,428.0,86.0,459,-31.0,470,-42.0,1626.0,406.0,1105,521.0,1700,-74.0
KOR,F,all,7,ʌ,ʌ  (hud),926,702.0,117.0,753,-51.0,799,-97.0,1482.0,198.0,1426,56.0,1567,-85.0
KOR,F,stressed,7,i,i  (heed),508,407.0,81.0,437,-30.0,437,-30.0,2636.0,284.0,2761,-125.0,2685,-49.0
KOR,F,stressed,7,ɪ,ɪ  (hid),875,486.0,87.0,483,3.0,595,-109.0,2375.0,338.0,2365,10.0,2289,86.0
KOR,F,stressed,7,ɛ,ɛ  (head),795,703.0,118.0,731,-28.0,748,-45.0,1993.0,277.0,2058,-65.0,2099,-106.0
KOR,F,stressed,7,æ,æ  (had),881,790.0,110.0,669,121.0,914,-124.0,1986.0,267.0,2349,-363.0,2046,-60.0
KOR,F,stressed,7,ɑ,ɑ  (hod),446,777.0,105.0,936,-159.0,861,-84.0,1352.0,201.0,1551,-199.0,1437,-85.0
KOR,F,stressed,7,ʊ,ʊ  (hood),133,503.0,80.0,519,-16.0,575,-72.0,1624.0,317.0,1225,399.0,1521,103.0
KOR,F,stressed,7,u,u  (who'd),321,428.0,87.0,459,-31.0,470,-42.0,1621.0,407.0,1105,516.0,1700,-79.0
KOR,F,stressed,7,ʌ,ʌ  (hud),926,702.0,117.0,753,-51.0,799,-97.0,1482.0,198.0,1426,56.0,1567,-85.0
KOR,F,citation,7,i,i  (heed),235,411.0,82.0,437,-26.0,437,-26.0,2677.0,279.0,2761,-84.0,2685,-8.0
KOR,F,citation,7,ɪ,ɪ  (hid),188,485.0,95.0,483,2.0,595,-110.0,2473.0,322.0,2365,108.0,2289,184.0
KOR,F,citation,7,ɛ,ɛ  (head),435,731.0,114.0,731,-0.0,748,-17.0,2013.0,257.0,2058,-45.0,2099,-86.0
KOR,F,citation,7,æ,æ  (had),336,836.0,96.0,669,167.0,914,-78.0,1970.0,253.0,2349,-379.0,2046,-76.0
KOR,F,citation,7,ɑ,ɑ  (hod),218,805.0,97.0,936,-131.0,861,-56.0,1315.0,182.0,1551,-236.0,1437,-122.0
KOR,F,citation,7,ʊ,ʊ  (hood),40,512.0,72.0,519,-7.0,575,-63.0,1556.0,364.0,1225,331.0,1521,35.0
KOR,F,citation,7,u,u  (who'd),116,448.0,82.0,459,-11.0,470,-22.0,1520.0,386.0,1105,415.0,1700,-180.0
